Idx,w_bc,min-bc-loss,min-total-loss
515.0000,1.2352,1.2907,1.4320
516.0000,1.2524,1.3072,1.4541
517.0000,1.2699,1.3237,1.4747
518.0000,1.2876,1.3404,1.4924
519.0000,1.3055,1.3571,1.5129
520.0000,1.3237,1.3741,1.5335
521.0000,1.3422,1.3912,1.5571
522.0000,1.3609,1.4082,1.5759
523.0000,1.3799,0.0217,0.1198
524.0000,1.3992,1.4425,1.6183
525.0000,1.4187,0.0004,0.0747
526.0000,1.4384,1.4775,1.6640
527.0000,1.4585,0.0021,0.0348
528.0000,1.4789,0.0021,0.0348
529.0000,1.4995,0.0122,0.1608
530.0000,1.5204,0.1968,0.3842
531.0000,1.5416,0.2153,0.3380
532.0000,1.5631,0.2798,0.3300
533.0000,1.5849,0.2717,0.3090
534.0000,1.6070,0.2603,0.3157
535.0000,1.6294,0.2749,0.3155
536.0000,1.6521,0.2566,0.4681
537.0000,1.6752,0.0002,0.0364
538.0000,1.6985,0.2333,0.3513
539.0000,1.7222,0.0368,0.2137
540.0000,1.7462,0.0016,0.0471
541.0000,1.7706,0.2173,0.3310
542.0000,1.7953,0.0020,0.0353
543.0000,1.8203,0.0242,0.1419
544.0000,1.8457,1.9287,nan
545.0000,1.8715,1.9556,nan
546.0000,1.8976,1.9829,nan
547.0000,1.9240,2.0105,nan
548.0000,1.9509,2.0386,nan
549.0000,1.9781,2.0670,nan
550.0000,2.0057,2.0958,nan
551.0000,2.0336,2.1251,nan
