Idx,w_bc,min-bc-loss,min-total-loss
256.0000,0.0345,0.0360,0.0397
257.0000,0.0350,0.0365,0.0405
258.0000,0.0354,0.0370,0.0409
259.0000,0.0359,0.0163,0.0180
260.0000,0.0364,0.0381,0.0420
261.0000,0.0369,0.0386,0.0425
262.0000,0.0375,0.0391,0.0434
263.0000,0.0380,0.0216,0.0244
264.0000,0.0385,0.0259,0.0434
265.0000,0.0390,0.0408,0.0450
266.0000,0.0396,0.0414,0.0451
267.0000,0.0401,0.0419,0.0469
268.0000,0.0407,0.0425,0.0522
269.0000,0.0413,0.0431,0.0482
270.0000,0.0418,0.0437,0.0482
271.0000,0.0424,0.0273,0.0293
272.0000,0.0430,0.0450,0.0495
273.0000,0.0436,0.0456,0.0503
274.0000,0.0442,0.0462,0.0509
275.0000,0.0448,0.0469,0.0555
276.0000,0.0455,0.0475,0.0522
277.0000,0.0461,0.0482,0.0530
278.0000,0.0467,0.0488,0.0538
279.0000,0.0474,0.0200,0.0232
280.0000,0.0480,0.0502,0.0552
281.0000,0.0487,0.0509,0.0559
282.0000,0.0494,0.0202,0.0247
283.0000,0.0501,0.0261,0.0292
284.0000,0.0508,0.0531,0.0583
285.0000,0.0515,0.0538,0.0616
286.0000,0.0522,0.0546,0.0599
287.0000,0.0529,0.0250,0.0278
288.0000,0.0537,0.0561,0.0615
289.0000,0.0544,0.0259,0.0341
290.0000,0.0552,0.0252,0.0288
291.0000,0.0559,0.0252,0.0294
